# Lodd svinger i fjær under vann.
# Masse: 89 gram.
# Tid t i sekunder.
# Utslag y i meter.
#
# Kilde: Knut Skrindo
#
t;y
0.000000000E0;1.708237277E-1
3.333333333E-2;1.690340009E-1
1.000000000E-1;1.407638573E-1
1.333333333E-1;1.281440634E-1
1.666666667E-1;1.083683821E-1
2.000000000E-1;8.452364438E-2
2.333333333E-1;6.019083276E-2
2.666666667E-1;3.530112851E-2
3.000000000E-1;1.085816582E-2
3.333333333E-1;-1.114019531E-2
3.666666667E-1;-3.124027504E-2
4.000000000E-1;-4.786532360E-2
4.333333333E-1;-6.115554324E-2
4.666666667E-1;-7.123704885E-2
5.000000000E-1;-7.720100520E-2
5.333333333E-1;-8.216339518E-2
5.666666667E-1;-8.460926309E-2
6.000000000E-1;-8.448068364E-2
6.333333333E-1;-8.095323208E-2
6.666666667E-1;-7.805255521E-2
7.000000000E-1;-7.185848760E-2
7.333333333E-1;-6.320998026E-2
7.666666667E-1;-5.277730688E-2
8.000000000E-1;-4.296925959E-2
8.333333333E-1;-3.139571623E-2
8.666666667E-1;-2.149225363E-2
9.000000000E-1;-1.160728005E-2
9.333333333E-1;-6.042731911E-4
9.666666667E-1;9.599334262E-3
1.000000000E0;1.911592446E-2
1.033333333E0;2.730475689E-2
1.066666667E0;3.425615636E-2
1.100000000E0;3.982396117E-2
1.133333333E0;4.393380991E-2
1.166666667E0;4.565145139E-2
1.200000000E0;4.613664967E-2
1.233333333E0;4.534260879E-2
1.266666667E0;4.246121789E-2
1.300000000E0;3.898652210E-2
1.333333333E0;3.415526500E-2
1.366666667E0;2.808114508E-2
1.400000000E0;2.134280162E-2
1.433333333E0;1.390402448E-2
1.466666667E0;5.979372149E-3
1.500000000E0;-1.661157632E-3
1.533333333E0;-9.192227786E-3
1.566666667E0;-1.627009495E-2
1.600000000E0;-2.244692995E-2
1.633333333E0;-2.715047765E-2
1.666666667E0;-3.078469287E-2
1.700000000E0;-3.412533366E-2
1.733333333E0;-3.588387485E-2
1.766666667E0;-3.701389274E-2
1.800000000E0;-3.717860718E-2
1.833333333E0;-3.563197331E-2
1.868333333E0;-3.330823018E-2
1.901666667E0;-2.916970947E-2
1.935000000E0;-2.545885948E-2
1.968333333E0;-2.038524058E-2
2.001666667E0;-1.534680696E-2
2.035000000E0;-9.809692577E-3
2.068333333E0;-3.757809801E-3
2.101666667E0;9.945147564E-4
2.135000000E0;6.059984928E-3
2.168333333E0;1.078609265E-2
2.201666667E0;1.544699793E-2
2.235000000E0;1.904967433E-2
2.268333333E0;2.294690456E-2
2.301666667E0;2.398341877E-2
2.335000000E0;2.525999217E-2
2.368333333E0;2.522513885E-2
2.401666667E0;2.555756423E-2
2.435000000E0;2.367084010E-2
2.468333333E0;2.120367028E-2
2.501666667E0;1.870234955E-2
2.535000000E0;1.588151608E-2
2.568333333E0;1.172943429E-2
2.601666667E0;7.602227219E-3
2.635000000E0;2.658342881E-3
2.668333333E0;-1.570591418E-3
2.701666667E0;-6.053828125E-3
2.735000000E0;-1.034791908E-2
2.768333333E0;-1.408920608E-2
2.801666667E0;-1.738479265E-2
2.835000000E0;-1.992505133E-2
2.868333333E0;-2.194064172E-2
2.901666667E0;-2.329483674E-2
2.935000000E0;-2.408909921E-2
2.968333333E0;-2.422312870E-2
3.001666667E0;-2.266154053E-2
3.035000000E0;-2.004889108E-2
3.068333333E0;-1.872276608E-2
3.101666667E0;-1.621125267E-2
3.135000000E0;-1.301149966E-2
3.168333333E0;-9.311335359E-3
3.201666667E0;-5.818581925E-3
3.235000000E0;-2.680965072E-3
3.268333333E0;1.302912151E-3
3.301666667E0;5.187551608E-3
3.335000000E0;8.090336403E-3
3.368333333E0;1.183421010E-2
3.401666667E0;1.426706532E-2
3.435000000E0;1.601381507E-2
3.468333333E0;1.714831791E-2
3.501666667E0;1.745371883E-2
3.535000000E0;1.877178409E-2
3.568333333E0;1.836140204E-2
3.601666667E0;1.656152140E-2
3.635000000E0;1.646550968E-2
3.668333333E0;1.339164798E-2
3.701666667E0;1.185824661E-2
3.735000000E0;8.910448371E-3
3.768333333E0;4.658008942E-3
3.801666667E0;2.640364907E-3
3.835000000E0;-1.095450292E-3
3.868333333E0;-4.383466605E-3
3.901666667E0;-7.123435977E-3
3.935000000E0;-9.642540446E-3
3.968333333E0;-1.088367980E-2
4.001666667E0;-1.390607567E-2
4.035000000E0;-1.540671754E-2
4.068333333E0;-1.540936666E-2
4.101666667E0;-1.645719179E-2
4.135000000E0;-1.651202448E-2
4.170000000E0;-1.669879844E-2
4.203333333E0;-1.536970030E-2
4.236666667E0;-1.357750211E-2
4.270000000E0;-1.162585796E-2
4.303333333E0;-9.318487242E-3
4.336666667E0;-4.368536335E-3
4.370000000E0;-3.159751335E-3
4.403333333E0;-1.498502076E-3
4.436666667E0;1.410942061E-3
4.470000000E0;3.934156081E-3
4.503333333E0;6.692916519E-3
4.536666667E0;8.645637874E-3
4.570000000E0;1.079213041E-2
4.603333333E0;1.252633620E-2
4.636666667E0;1.337895627E-2
4.670000000E0;1.525779687E-2
4.703333333E0;1.393862309E-2
4.736666667E0;1.526865353E-2
4.770000000E0;1.377949589E-2
4.803333333E0;1.272733277E-2
4.836666667E0;1.082381660E-2
4.870000000E0;8.423442053E-3
4.903333333E0;6.864674129E-3
4.936666667E0;5.088247619E-3
4.970000000E0;3.692670175E-3
5.003333333E0;2.610487927E-3
5.036666667E0;-2.367520602E-3
5.070000000E0;-4.534851765E-3
5.103333333E0;-6.819538826E-3
5.136666667E0;-8.702453202E-3
5.170000000E0;-1.020760322E-2
5.203333333E0;-1.143344415E-2
5.236666667E0;-1.247711532E-2
5.270000000E0;-1.139423205E-2
5.303333333E0;-1.297361704E-2
5.336666667E0;-1.213681834E-2
5.370000000E0;-1.159627439E-2
5.403333333E0;-7.144724167E-3
5.436666667E0;-7.695362405E-3
5.470000000E0;-5.600101874E-3
5.503333333E0;-1.913993711E-3
5.536666667E0;-1.839051684E-3
5.570000000E0;9.845174000E-5
5.603333333E0;2.342129358E-3
5.636666667E0;3.971756525E-3
5.670000000E0;6.562583184E-3
5.703333333E0;7.210197970E-3
5.736666667E0;8.643311626E-3
5.770000000E0;1.051880072E-2
5.803333333E0;1.039499374E-2
5.836666667E0;1.087794299E-2
5.870000000E0;1.053582021E-2
5.903333333E0;1.019177903E-2
5.936666667E0;1.112580390E-2
5.970000000E0;9.116364765E-3
6.003333333E0;7.298976860E-3
6.036666667E0;5.876045230E-3
6.070000000E0;4.947962072E-3
6.103333333E0;2.628380850E-3
6.136666667E0;4.726121538E-3
6.170000000E0;-3.007140478E-4
6.203333333E0;-2.648467110E-3
6.236666667E0;-2.534194757E-3
6.270000000E0;-4.818030492E-3
6.303333333E0;-6.884722534E-3
6.336666667E0;-7.914922083E-3
6.370000000E0;-8.360836430E-3
6.403333333E0;-8.789353058E-3
6.436666667E0;-9.265026071E-3
6.471666667E0;-8.084634899E-3
6.505000000E0;-8.754869707E-3
6.538333333E0;-7.118079791E-3
6.571666667E0;-6.819158723E-3
6.605000000E0;-5.545322176E-3
6.638333333E0;-4.232546407E-3
6.671666667E0;-2.866125240E-3
6.705000000E0;-1.326121290E-3
6.738333333E0;1.268967930E-3
6.771666667E0;1.915238190E-3
6.805000000E0;4.989822420E-3
6.838333333E0;5.992222547E-3
6.871666667E0;6.709909418E-3
6.905000000E0;7.241477528E-3
6.938333333E0;7.586798439E-3
6.971666667E0;8.006862366E-3
7.005000000E0;8.202745174E-3
7.038333333E0;8.369749784E-3
7.071666667E0;7.291935983E-3
7.105000000E0;7.933574241E-3
