# Temperatur i vann
# Målt i et glass vann med en Microbit
# Tiden er i minutter
# Temperaturen er i grader celsius
#
# Kilde: Knut Skrindo
# 
Tid;Temperatur
0;4
1;4
2;4
3;5
4;5
5;5
6;5
7;5
8;5
9;6
10;6
11;6
12;6
13;7
14;7
15;7
16;7
17;7
18;8
19;8
20;8
21;8
22;8
23;8
24;9
25;9
26;9
27;9
28;9
29;10
30;10
31;10
32;10
33;10
34;10
35;11
36;11
37;11
38;11
39;11
40;11
41;11
42;12
43;12
44;12
45;12
46;12
47;12
48;12
49;13
50;13
51;13
52;13
53;13
54;13
55;13
56;13
57;13
58;13
59;13
60;14
61;14
62;14
63;14
64;14
65;14
66;14
67;14
68;14
69;14
70;14
71;14
72;14
73;15
74;15
75;15
76;15
77;15
78;15
79;15
80;15
81;15
82;15
83;15
84;15
85;16
86;16
87;16
88;16
89;16
90;16
91;16
91;16
92;16
93;16
94;16
95;16
96;16
97;16
98;16
99;16
100;16
101;16
102;16
103;16
104;16
105;16
106;17
107;17
108;17
109;17
110;17
111;17
112;17
113;17
114;17
115;17
116;17
117;17
118;17
119;17
120;17
121;17
122;17
123;17
124;17
125;17
126;17
127;17
128;17
129;17
