Time (s) Run #1	Temperature (°C) Run #1
0,000	22,3
5,000	22,3
10,000	22,3
15,000	22,3
20,000	22,2
25,000	22,2
30,000	22,2
35,000	22,2
40,000	22,2
45,000	22,2
50,000	22,2
55,000	22,1
60,000	22,1
65,000	22,1
70,000	22,1
75,000	22,1
80,000	22,1
85,000	22,1
90,000	22,1
95,000	22,1
100,000	22,0
105,000	22,0
110,000	22,0
115,000	22,0
120,000	22,0
125,000	22,0
130,000	22,0
135,000	22,0
140,000	22,0
145,000	22,0
150,000	22,0
155,000	22,0
160,000	22,0
165,000	22,0
170,000	21,9
175,000	21,9
180,000	21,9
185,000	21,9
190,000	21,9
195,000	21,9
200,000	21,9
205,000	21,9
210,000	21,9
215,000	21,9
220,000	16,3
225,000	7,6
230,000	4,7
235,000	3,5
240,000	2,6
245,000	2,4
250,000	1,9
255,000	1,6
260,000	1,4
265,000	1,4
270,000	1,2
275,000	1,2
280,000	1,2
285,000	1,2
290,000	1,2
295,000	1,2
300,000	1,3
305,000	1,3
310,000	1,4
315,000	1,5
320,000	1,5
325,000	1,2
330,000	1,1
335,000	1,1
340,000	1,1
345,000	1,1
350,000	1,1
355,000	1,2
360,000	1,3
365,000	1,3
370,000	1,1
375,000	0,9
380,000	0,9
385,000	0,8
390,000	0,7
395,000	0,7
400,000	0,8
405,000	0,6
410,000	0,5
415,000	0,6
420,000	0,7
425,000	0,6
430,000	0,7
435,000	0,7
440,000	0,7
445,000	0,8
450,000	0,8
455,000	0,6
460,000	0,6
465,000	0,6
470,000	0,7
475,000	0,8
480,000	0,7
485,000	0,6
490,000	0,7
495,000	0,7
500,000	0,6
505,000	0,7
510,000	0,7
515,000	0,7
520,000	0,8
525,000	0,9
530,000	0,9
535,000	1,0
540,000	0,8
545,000	0,9
550,000	0,7
555,000	0,8
560,000	0,9
565,000	1,0
570,000	1,0
575,000	1,0
580,000	1,0
585,000	1,1
590,000	1,1
595,000	1,2
600,000	1,4
605,000	3,0
610,000	4,6
615,000	6,4
620,000	5,8
625,000	2,7
630,000	1,8
635,000	1,9
640,000	2,1
645,000	1,9
650,000	1,8
655,000	1,7
660,000	1,9
665,000	3,2
670,000	3,9
675,000	4,5
680,000	5,1
685,000	5,6
690,000	6,2
695,000	6,6
700,000	4,2
705,000	2,0
710,000	1,5
715,000	1,3
720,000	1,2
725,000	1,1
730,000	1,0
735,000	1,1
740,000	1,2
745,000	1,3
750,000	1,5
755,000	1,7
760,000	1,7
765,000	1,7
770,000	1,9
775,000	2,0
780,000	2,0
785,000	1,7
790,000	1,6
795,000	2,0
800,000	1,9
805,000	2,3
810,000	2,3
815,000	2,6
820,000	2,7
825,000	2,8
830,000	3,0
835,000	3,1
840,000	3,1
845,000	3,4
850,000	3,3
855,000	3,4
860,000	3,5
865,000	3,8
870,000	4,0
875,000	4,0
880,000	4,0
885,000	4,4
890,000	4,8
895,000	5,2
900,000	5,4
905,000	4,7
910,000	5,3
915,000	5,6
920,000	5,6
925,000	5,8
930,000	6,5
935,000	7,0
940,000	6,9
945,000	6,7
950,000	7,0
955,000	8,1
960,000	9,0
965,000	9,0
970,000	9,0
975,000	9,4
980,000	9,5
985,000	10,5
990,000	11,9
995,000	12,0
1000,000	11,9
1005,000	12,6
1010,000	13,4
1015,000	14,2
1020,000	15,1
1025,000	15,8
1030,000	16,7
1035,000	17,7
1040,000	18,7
1045,000	19,5
1050,000	20,7
1055,000	21,5
1060,000	22,7
1065,000	23,9
1070,000	25,5
1075,000	27,7
1080,000	29,6
1085,000	31,0
1090,000	31,4
1095,000	31,9
1100,000	32,0
1105,000	33,6
1110,000	35,5
1115,000	37,0
1120,000	37,7
1125,000	39,8
1130,000	39,2
1135,000	41,1
1140,000	42,8
1145,000	44,9
1150,000	45,4
1155,000	45,3
1160,000	47,0
1165,000	49,2
1170,000	50,6
1175,000	51,9
1180,000	53,3
1185,000	54,5
1190,000	55,6
1195,000	55,1
1200,000	57,1
1205,000	58,2
1210,000	60,4
1215,000	61,5
1220,000	63,0
1225,000	63,1
1230,000	63,9
1235,000	65,8
1240,000	67,9
1245,000	69,5
1250,000	70,8
1255,000	72,1
1260,000	73,1
1265,000	74,1
1270,000	76,1
1275,000	76,7
1280,000	78,3
1285,000	79,5
1290,000	81,5
1295,000	82,6
1300,000	83,0
1305,000	84,0
1310,000	85,3
1315,000	86,6
1320,000	87,9
1325,000	89,1
1330,000	89,2
1335,000	90,4
1340,000	92,2
1345,000	93,1
1350,000	93,8
1355,000	94,8
1360,000	96,0
1365,000	97,1
1370,000	97,8
1375,000	98,6
1380,000	99,3
1385,000	99,8
1390,000	100,4
1395,000	100,7
1400,000	101,0
1405,000	101,2
1410,000	101,2
1415,000	101,1
1420,000	101,1
1425,000	101,1
1430,000	101,0
1435,000	101,1
1440,000	101,1
1445,000	101,2
1450,000	101,0
1455,000	101,0
1460,000	101,0
1465,000	101,0
1470,000	100,8
1475,000	100,8
1480,000	101,0
1485,000	100,8
1490,000	100,8
1495,000	101,0
1500,000	101,0
1505,000	100,8
1510,000	100,9
1515,000	101,0
1520,000	101,0
1525,000	101,0
1530,000	100,8
1535,000	101,0
1540,000	101,0
1545,000	101,0
1550,000	100,8
1555,000	100,8
